id,name,detail,image
1,smyrne,カカオ風味香るガナッシュ。ビターとラム酒の風味が良く、とろける。,
2,salome,バニラ風味のムースが口の中を満たす、上品なチョコ。,
3,trois oranges,固い外側のチョコとは真逆に中身はしっとりオレンジ風味。,
4,manon,キャラメル感がとても強く、チョコレートとの相乗効果で美味。,
5,rocher,ヌガディーヌが食感を楽しませてくれる。アーモンドでさらに引き立つ。,
6,allegro,紅茶風味が口を満たし、ビターが後を追ってくる。,
7,caraibe,カカオ風味を感じられる王道なチョコレート。甘さとのバランス◯,
8,poire épice,スパイスの香りが口に広がり、チョコの甘みとピッタリ,
9,yuzu,柚子の香りが口に広がり、チョコの甘さがくどくないスッキリとした一品,
10,héléna abricot,見た目が鮮やかで口に入れればアプリコットが満たしてくれる。,
11,spéculoos,クッキー感を感じられる。深いショコラとクッキーのコラボはたまらない,
12,criollos,フルーティーな風味にブラックチョコレートが合わさった大人な味,
13,framboise sésame,サクサクしたアーモンドと岩塩のアクセントが加わった一品。,
14,thé,噛んだ瞬間ダージリンが口の中に広まる。ほろ苦ショコラと相性抜群,
15,jasmin,ジャスミンが香るショコラ。カカオ風味が強く、大人な味。,
16,jules,ミルクチョコの中にキャラメルのコクが感じられる。上品な甘さ,
17,carré cassel,クーベルチュールチョコを使用しているため、カカオの香りと味わいが強い,
18,equateur,ミルクが口の中に広がり、チョコの甘さで満たしてくれる,
19,fleur de pollen,ハチミツの甘さが口の中いっぱいに広がる。花粉のトッピングが印象的,
20,almeria,ナッツの食感とオレンジ風味が香るチョコ。甘さがくどくなくスッキリ。,
21,louis framboise,ベリー系の風味が香る。味が繊細で優しいチョコ。,
22,sésame,胡麻の風味が口の中を満たしてくれる。チョコと意外に合う一品。,
23,saphir,ビスケットの食感とヘーゼルナッツクリームでチョコを楽しませる,
24,soupçon,スパイスが口の中に香りながら、ミルクチョコの甘みがいい具合にマッチする。,
25,cao,しっとりしたチョコの甘味がほのかな酸味とマッチする。,
